EST1,EST2,EST3,SST1,SST2,SST3,BEQ1,BEQ2,BEQ3,BEQ4,BEQ5,BEQ6,BEQ7,BEQ8,BEQ9,BEQ10,RVL1,RVL2,RVL3,RVL4,RVL5,COR1,COR2,COR3,COR4,COR5,COR6,COR7,COR8,COR9,ICT1,ICT2,ICT3,ICT4,SUS1,SUS2,SUS3,SUS4,SUS5,SUS6,SUS7,SUS8,SUS9,SUS10,SUS11,SUS12,SUS13,SUS14,SUS15,SUSA,SUSB,SUSC
6,5,5,7,6,7,5,5,5,4,2,5,7,4,4,4,7,6,6,5,6,6,6,5,6,6,7,5,5,7,5,5,6,6,5,4,6,5,5,5,2,6,7,5,5,6,5,6,6,-0.8983685549624059,0.15629981333621573,-0.8595778018503161
6,6,6,6,6,5,6,6,5,4,2,5,2,2,2,2,6,6,6,6,6,6,6,5,6,4,5,5,5,4,5,5,4,5,6,6,5,5,7,6,6,6,7,6,5,4,6,6,6,0.46822979124794917,-0.2558463315157823,-0.5699893294414762
7,7,6,6,7,7,7,5.212121212121212,7,4.026415094339622,6,6,4,4,4,4,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,4,4,7,6,7,6,7,6,6,7,7,7,7,7,7,7,7,7,1.0050252697135282,1.493852122895102,0.8619847303091158
6,6,6,6,6,6,6,6,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,7,6,7,7,7,7,7,6,6,6,6,5,5,6,6,7,6,6,6,7,6,6,5,7,7,7,0.36410725828637636,0.34495249891568014,0.8619847303091158
7,6,6,6,6,7,7,5,5,3,5,6,5,5,5,5,7,7,6,6,5,5,5,5,5,4,5,5,4,5,6,5,5,5,5,5,6,6,6,5,5,6,7,5,5,5,6,6,6,-0.08415032659280967,-0.16378249946377013,-0.5699893294414762
6,7,5,6,7,6,6,6,5,4,5,6,3,3,3,3,6,6,6,5,5,6,4,5,5,4,5,5,5,6,5,4,4,4,5,5,5,5,7,6,6,6,7,5,5,4,6,6,6,0.188701009442369,-0.483864812263756,-0.5699893294414762
6,5,4,6,7,6,7,6,5,4,6,5,6,6,6,6,7,6,6,5,5,6,6,7,5.8830188679245285,5,6,5,5,6,6,6,6,6,6,6,7,7,7,7,6,7,7,7,7,7,7,6,6,1.1084159960155988,1.493852122895102,-0.2804008570326363
6,6,6,7,6,6,7,6,1,1,5,5,2,2,2,2,7,7,1,1,6,7,7,7,7,7,7,7,7,7,5,5,4,6,5,5,6,6,6,6,6,7,7,6,6,6,6,6,6,0.3371974730596547,0.665034811715666,-0.5699893294414762
5,5,5,4,5,5,6,6,6,4,6,6,5,5,4,5,6,7,7,7,7,6,6,7,6,5,5,7,5,5,6,5,5,5,5,5,6,5,6,6,6,6,6,5,5,5.095057034220532,6.345864661654136,6,6.364661654135339,0.07381738133087155,-0.13335642410255488,-0.28228440852355413
6,6,6,6,6,6,6,6,5,5,6,5,4,4,4,4,6,7,6,6,5,6,6,5,6,4,5,5,5,4,6,5,5,6,6,6,6,5,7,7,7,7,7,7,5,5,6,6,6,0.9366649911645601,0.2922544620321773,-0.5699893294414762
7,6,3,3,7,7,4,4,4,4,4,5,4,4,4,4,7,6,5,6,6,6,6,5,6,6,5,6,6,6,6,5,5,5,4,5,5,4,5,5,5,7,6,7,6,6,6,7,5,-0.5663079173533762,0.8930532924636396,-0.45620929885341316
6,6,6,6,6,6,7,6,6,2,5,6,5,5,5,5,7,7,6,7,6,6,5,5,5,4,5,4,4,5,5,5,4,5,5,5,3,5,5,5,5,6,7,3,4,3,7,6,6,-0.5157024043407546,-1.5407006041911657,-0.2804008570326363
6,5.62406015037594,7,5.845864661654136,7,6,6,1,1,1,1,1,1,1,1,1,7,7,7,6,7,7,7,6,7,6,6,5.950943396226415,4,6,5,4,3,5,6,7,7,7,7,6,6,7,7,7,7,5.095057034220532,7,7,7,1.0821096057804895,0.8841135726563457,0.8619847303091158
4,4,4,4,4,4,3,3,3,3,7,3,3,3,4,4,7,7,7,7,7,6,6,7,7,5,6,7,6,6,7,4,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1.5199188703940083,1.493852122895102,0.8619847303091158
6,6,6,6,6,7,6,7,5,3,5,6,5,5,5,5,6,6,5,6,4,6,5,5,5,4,5,5,4,6,4,4,4,5,4,5,6,5,5,5,5,6,7,5,5,4,6,6,6,-0.5259629116582913,-0.483864812263756,-0.5699893294414762
